rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
34,Solidity,hashlips_nft_contract,800,677,Solidity,https://github.com/HashLips/hashlips_nft_contract,HashLips,48,2022-10-23T16:20:12Z,A simple NFT smart contract that works with the rest of the HashLips ecosystem.
35,Solidity,ethereum-api,765,427,Solidity,https://github.com/provable-things/ethereum-api,provable-things,11,2023-02-16T21:45:20Z,Provable API for Ethereum smart contracts
36,Solidity,unlock,744,194,Solidity,https://github.com/unlock-protocol/unlock,unlock-protocol,115,2023-04-04T00:38:10Z,Ʉnlock is a protocol for memberships built on a blockchain.
37,Solidity,defi-sdk,731,228,Solidity,https://github.com/zeriontech/defi-sdk,zeriontech,23,2023-03-03T13:44:27Z,DeFi SDK Makes Money Lego Work
38,Solidity,SWC-registry,720,143,Solidity,https://github.com/SmartContractSecurity/SWC-registry,SmartContractSecurity,15,2023-03-07T16:23:27Z,Smart Contract Weakness Classification and Test Cases
39,Solidity,olympus-contracts,716,949,Solidity,https://github.com/OlympusDAO/olympus-contracts,OlympusDAO,42,2023-01-25T20:06:27Z,
40,Solidity,weird-erc20,701,78,Solidity,https://github.com/d-xo/weird-erc20,d-xo,1,2023-02-28T14:40:56Z,weird erc20 tokens
41,Solidity,contracts,679,324,Solidity,https://github.com/thirdweb-dev/contracts,thirdweb-dev,3,2023-03-29T00:01:31Z,Collection of smart contracts deployable via thirdweb
42,Solidity,DARC,679,34,Solidity,https://github.com/Project-DARC/DARC,Project-DARC,0,2023-04-03T03:11:53Z,Decentralized Autonomous Regulated Company (DARC) is a virtual machine company that runs on any EVM-compatible blockchain. It features a built-in multi-token and plugin system.
43,Solidity,Safemoon.sol,666,934,Solidity,https://github.com/safemoonprotocol/Safemoon.sol,safemoonprotocol,97,2022-05-27T01:22:07Z,safemoon contract
44,Solidity,Journey-to-become-a-Blockchain-Engineer,657,163,Solidity,https://github.com/spo0ds/Journey-to-become-a-Blockchain-Engineer,spo0ds,0,2023-02-26T18:03:10Z,I'm sharing everything I'm learning to become a Blockchain Engineer
45,Solidity,dss,655,377,Solidity,https://github.com/makerdao/dss,makerdao,11,2023-03-26T09:20:06Z,Dai Stablecoin System
46,Solidity,prettier-plugin-solidity,649,70,Solidity,https://github.com/prettier-solidity/prettier-plugin-solidity,prettier-solidity,8,2023-04-03T06:56:46Z,A Prettier plugin for automatically formatting your Solidity code.
47,Solidity,aragonOS,638,254,Solidity,https://github.com/aragon/aragonOS,aragon,39,2023-03-08T16:47:05Z,(Aragon 1) Reference implementation for aragonOS: a Solidity framework for building complex dApps and protocols
48,Solidity,yam-protocol,634,259,Solidity,https://github.com/yam-finance/yam-protocol,yam-finance,11,2022-08-28T02:22:17Z,A stablizing reserve currency protocol
49,Solidity,account-abstraction,631,222,Solidity,https://github.com/eth-infinitism/account-abstraction,eth-infinitism,2,2023-04-02T20:55:58Z,
50,Solidity,rarity,618,120,Solidity,https://github.com/andrecronje/rarity,andrecronje,40,2022-05-19T09:12:51Z,d20srd reference implementation codified in solidity
51,Solidity,prb-math,597,93,Solidity,https://github.com/PaulRBerg/prb-math,PaulRBerg,12,2023-03-30T08:28:18Z,Solidity library for advanced fixed-point math
52,Solidity,verified-smart-contracts,596,135,Solidity,https://github.com/runtimeverification/verified-smart-contracts,runtimeverification,8,2022-08-28T02:08:14Z,Smart contracts which are formally verified
53,Solidity,contracts,595,99,Solidity,https://github.com/CodeforDAO/contracts,CodeforDAO,1,2022-08-01T15:57:14Z,Solidity smart contracts of CodeforDAO
54,Solidity,solidity_smart_contracts,574,509,Solidity,https://github.com/HashLips/solidity_smart_contracts,HashLips,34,2022-02-05T19:16:08Z,A list of smart contracts coded in solidity 
55,Solidity,ERC4610,571,96,Solidity,https://github.com/AFKDAO/ERC4610,AFKDAO,0,2022-04-22T06:57:58Z,ERC-4610 is an extension of ERC-721 and it aims to provide standardized token rental and loanable protocol for ecological applications such as blockchain games.
56,Solidity,damn-vulnerable-defi,566,880,Solidity,https://github.com/OpenZeppelin/damn-vulnerable-defi,OpenZeppelin,4,2022-11-19T13:33:04Z,
57,Solidity,flashside,563,111,Solidity,https://github.com/Anish-Agnihotri/flashside,Anish-Agnihotri,0,2022-05-01T01:31:18Z,Long-tail MEV contracts to claim Otherside land NFTs
58,Solidity,wrapper,545,86,Solidity,https://github.com/AFKDAO/wrapper,AFKDAO,0,2022-01-12T11:38:53Z,Wrapper is a contract where you can wrap or transform an existing ERC-721 token into a new wrapped token with ERC-4610 standard.
59,Solidity,forge-std,539,142,Solidity,https://github.com/foundry-rs/forge-std,foundry-rs,24,2023-04-01T16:44:16Z,"Forge Standard Library is a collection of helpful contracts for use with forge and foundry. It leverages forge's cheatcodes to make writing tests easier and faster, while improving the UX of cheatcodes. For more in-depth usage examples checkout the tests."
60,Solidity,BEPs,534,353,Solidity,https://github.com/bnb-chain/BEPs,bnb-chain,12,2023-04-03T22:51:06Z,BNB Evolution Proposals
61,Solidity,flashloan-box,527,234,Solidity,https://github.com/aave/flashloan-box,aave,6,2023-01-24T02:14:37Z,A box containing all you need to get started with developing  Aave v1 flash loans
